City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Yumen,CN,2021-11-08 05:45:57,40.2833,97.2,30.97,23,12,12.19
262,Dikson,RU,2021-11-08 05:45:57,73.5069,80.5464,3.06,98,93,4.99
263,Maceio,BR,2021-11-08 05:44:20,-9.6658,-35.7353,80.04,94,20,5.75
264,Saint-Philippe,RE,2021-11-08 05:42:49,-21.3585,55.7679,81.95,74,39,11.39
265,Wajir,KE,2021-11-08 05:45:58,1.7471,40.0573,80.56,65,75,9.22
266,Heihe,CN,2021-11-08 05:45:58,50.2441,127.4902,23.58,59,61,11.77
267,Hearst,CA,2021-11-08 05:45:58,49.6835,-83.6665,43.05,82,97,6.35
268,Isangel,VU,2021-11-08 05:45:59,-19.55,169.2667,78.91,69,55,3.44
269,San Andres,CO,2021-11-08 05:45:59,12.5847,-81.7006,82.42,78,75,10.36
270,Inhambane,MZ,2021-11-08 05:46:00,-23.865,35.3833,78.78,88,40,7.0
271,Adrar,MR,2021-11-08 05:46:00,20.5022,-10.0711,67.12,26,91,8.57
272,Bombay,IN,2021-11-08 05:42:39,19.0144,72.8479,89.58,35,44,9.22
273,Amberley,US,2021-11-08 05:47:00,39.2048,-84.428,47.08,79,7,4.05
274,Tanout,NE,2021-11-08 05:47:01,14.9709,8.8879,76.01,18,9,10.04
275,Sechura,PE,2021-11-08 05:47:01,-5.5569,-80.8222,64.33,80,36,8.81
276,Lorengau,PG,2021-11-08 05:42:38,-2.0226,147.2712,84.61,68,28,11.52
277,Macomer,IT,2021-11-08 05:47:01,40.262,8.7699,49.55,77,87,4.94
278,Maniitsoq,GL,2021-11-08 05:45:08,65.4167,-52.9,20.14,62,6,5.1
279,Zhigansk,RU,2021-11-08 05:47:02,66.7697,123.3711,7.38,94,100,26.17
280,Darhan,MN,2021-11-08 05:47:02,49.4867,105.9228,27.59,51,59,5.84
281,Athabasca,CA,2021-11-08 05:47:03,54.7169,-113.2854,28.22,61,60,2.93
282,Shelburne,CA,2021-11-08 05:47:03,44.0787,-80.2041,47.59,90,71,6.08
283,Pitsunda,GE,2021-11-08 05:47:03,43.1592,40.3378,55.58,75,100,6.26
284,Broome,US,2021-11-08 05:47:04,42.2506,-75.833,40.32,68,0,1.07
285,Sweetwater,US,2021-11-08 05:47:04,25.7634,-80.3731,64.0,86,20,4.61
286,Codrington,AU,2021-11-08 05:47:04,-38.2667,141.9667,58.64,60,62,11.18
287,Constitucion,CL,2021-11-08 05:45:56,-35.3333,-72.4167,54.86,78,3,9.44
288,Monjas,GT,2021-11-08 05:47:05,14.5,-89.8667,60.91,91,57,6.46
289,Thinadhoo,MV,2021-11-08 05:47:05,0.5333,72.9333,83.37,66,95,16.24
